,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
0,2020年交付精装优质房源，楼层好，位置佳，全天采光,235万,16416,钟楼区永红,城市中央美居,4室2厅1厨2卫,中楼层 (共17层),143.16㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-11-10,商品房,2020-10-10,普通住宅,满两年,共有,无抵押,已上传房本照片,此房户型好，精装修，一梯一户大平层，前面没遮挡，采光好,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适，楼层好,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1,路劲雅居乐国仕九礼 诚心出售 随时看房,217万,20271,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,高楼层 (共19层),107.05㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,2023-05-25,商品房,2021-08-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,改善小区，布局合理，视野开阔，优质配套。,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高6层的花园洋房，凤凰层，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,,,,,,
2,云山诗意楼层好 视野开阔小区环境好 适宜居住,98万,10977,钟楼区永红,方圆云山诗意,2室2厅1厨1卫,中楼层 (共21层),89.28㎡,平层,67.57㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-01-15,商品房,2019-09-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好 视野开阔小区环境好 适宜居住,,,首套房个税1%，契税90平以下1%，90平以上1.5% 二套房90平以上契税2% 未满两年5.3%增值税 ..,青枫公园，五星幼儿园，龙湖天街，地铁二号线，欧尚 购物 ，龙江路高架,有地铁二号线，BRT交通枢纽，B23路，52路，213路，225路，Y1路,,,,,,,,,,
3,开发商精装修，带地暖，户型方正，一梯一户得房率高的,248万,19017,钟楼区永红,城市中央美居,4室2厅1厨2卫,高楼层 (共17层),130.41㎡,平层,暂无数据,板楼,南,钢混结构,精装,五梯两户,有,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房是开发商精装修，带地暖，户型方正，一梯一户得房率也挺..,"小区介绍：
小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住。","户型介绍：
1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透","税费解析：
契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
4,户型方正，两开间朝南，明厨明卫，采光好,100万,11601,钟楼区永红,桂花园,2室1厅1厨1卫,中楼层 (共11层),86.2㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-11-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 11万元 业主自还,未上传房本照片,户型方正，两开间朝南，明厨明卫，采光好，客厅宽敞舒适。。。,小区安静舒适，绿树葱葱，内有健身器材，幼儿园，人文素养好，乐于助人。,,"1.契税:首套房面积小于90平，1%的税，大于90平，1.5%的税；二套房面积大于90平，2%的税；三套房无论面积大小3%的税
2.个税，满五唯一，免个税，不满五年，不是唯一一套房产，交1%的税
3.增值税：满二免交，不满二交5.3%的税。",荆川公园，永红医院，教科院附Z，附X，出门就有公交，美食，银行。。。。,,,,,,,,,,,
5,新出绿园楼层好，采光好，户型好，,90万,9411,钟楼区永红,绿园,2室2厅1厨1卫,中楼层 (共6层),95.64㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2022-02-23,商品房,2019-08-03,普通住宅,暂无数据,共有,有抵押 40万元 江南农村商业银行,已上传房本照片,通透采光好，南北阳台，客餐厅一体，拎包住,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利,1、 户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,,,,,,,,,
6,2022年交付，有产权车位，东边位，房东承担全部增值税,238万,18351,钟楼区永红,万科四季都会,3室2厅1厨2卫,中楼层 (共27层),129.7㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 160万元,未上传房本照片,2022年交付，有产权车位，东边位，房东承担全部增值税,22年底交付的新小区，是万科在皇粮浜湿地公园旁打造的品质住区，一线水岸美宅。小区共有10幢16-18层的小高层和7幢24-27层的瞰景高层，面积段从90-143㎡不等。,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
7,不靠高架 万科四季都会 128㎡大3房2卫户型 精装,195万,15196,钟楼区永红,万科四季都会,3室2厅1厨2卫,高楼层 (共24层),128.33㎡,平层,100.61㎡,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-28,商品房,2023-02-27,普通住宅,未满两年,共有,有抵押 116万元 农行 客户偿还,已上传房本照片,22年底交付的新小区，是万科在皇粮浜湿地公园旁打造的品质小区，一线水岸美宅。小区共有10幢16-18层的小高层和7幢24-27层的瞰景高层，面积段从90-143㎡不等。,万科四季都会：近揽弘阳广场、宝龙广场、龙湖天街等，地铁4号线（规划）、5号线（规划）站点，全新城市封面繁华崛起。,,,中吴大道贯穿常州东西，龙江路高架贯穿常州全城，规划地铁5号线,,042411171558,钟楼教育港位置好 万科大品牌  22年交付新小区,,,,,,,,
8,优质户型 采光好，通透格局，楼层好，实用率大,128万,14546,钟楼区永红,上书房,3室2厅1厨1卫,中楼层 (共33层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-12-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,优质户型 采光好，通透格局，楼层好，实用率大，交通方便,小区采用中式园林建筑风格，景观绿化优美，鸟语花香，环境宜人。人车分流。,,1、契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税,荆川公园 清潭菜场 华联CHAO市 新怡华CHAO市，中国银行 建设银行 海王星辰药店 永红医院 激光医院 三鲜美食城等,,,,,,,,,,,
9,房子户型方正，采光很好，中间楼层,158万,14496,钟楼区永红,路劲城市印象,3室2厅1厨2卫,中楼层 (共34层),109㎡,平层,暂无数据,板塔结合,南 西南,钢混结构,毛坯,两梯四户,有,暂无数据,2020-08-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小户型，总价低，中间楼层全天采光，房东诚心出售,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
