,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
0,急售美的云筑大三房户型好 价格有来去,225万,18000,经开区潞城,美的云筑,3室2厅1厨2卫,中楼层 (共8层),125㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-05,商品房,2022-08-24,普通住宅,未满两年,共有,有抵押 40万元,已上传房本照片,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
1,港龙新港城 楼层佳 采光好 户型方正,135万,12564,经开区潞城,港龙.新港城,3室2厅1厨1卫,中楼层 (共34层),107.45㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-24,商品房,2020-10-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,港龙新港城 楼层佳 采光好 户型方正,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
2,精装3房1卫双阳台 现房，无遮挡全天采光 随时看房,150万,15420,经开区潞城,万科潮起东方,3室2厅1厨2卫,低楼层 (共18层),97.28㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装3房1卫双阳台 现房，无遮挡全天采光 随时看房,,综合市场，爱琴海购物广场，常青里巷，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房不满二，故个税是1%。契税：首套房90平米以上是成交价的1.5％； 二套房90平米以上是成交价的2％；三套房是成交价的3％，增值税5.3%。,,房东诚心出售 首付没要求 贷款全款都可以 没有贷款 过户全程陪同,,,,,,,
3,经开区公园壹号东边户 精装三房 保养好 看房方便,140万,10961,经开区潞城,公园壹号四期,3室2厅1厨2卫,高楼层 (共33层),127.73㎡,平层,100.5㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-03-09,商品房,2013-01-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，业主自住，保养比较好，满五唯一,,,房子是商品房，满五唯一可以省掉1%个人所得税，契税是90平以下一套两套都是1%，90以上一套是1.5%，两套是2%，三套以上不论面积都是3%.,,,房子是业主自住，房子保养比较好，家电家具都是比较好的，东边户，想置换了因此出售,小区门口就有共享单车，短途出行比较方便，地铁2号线站点往东2km，西边就是青洋路高架，直通沪宁高速，长途便利。,,,,,
4,公园壹号四期 地铁口小区 房东诚心出售 产权清晰,145万,11353,经开区潞城,公园壹号四期,3室2厅1厨2卫,中楼层 (共33层),127.73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2021-07-18,商品房,2013-02-21,普通住宅,暂无数据,共有,有抵押 8万元,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足，看房方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
5,公园壹号一期少有房源楼层佳户型好精装修居住舒适,140万,15012,经开区潞城,公园壹号花园,2室2厅1厨1卫,中楼层 (共10层),93.26㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-15,商品房,2017-06-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,公园壹号一期少有房源。此房精装，房东比较爱惜，空间感足,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,1、小区生活设施齐，商场、chao市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,,清新简单风格的装修，走进去心情都会变得很好。一切都保养的很好,,,,
6,嘉州枫景苑！近街道 商圈配套成熟 出行方便,135万,10452,经开区潞城,嘉州枫景苑,4室2厅1厨2卫,低楼层 (共6层),129.17㎡,平层,115.23㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-13,商品房,2014-11-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
7,公园壹号花园 三房 采光好 诚意出售,100万,10049,经开区潞城,公园壹号花园,3室2厅1厨1卫,低楼层 (共26层),99.52㎡,平层,75.81㎡,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2021-04-06,商品房,2011-12-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,公园壹号花园 三房 采光好 诚意出售,.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,,,,,,,,
8,户型方正，阳光充足，房东诚心出售，产权清晰,155万,14929,经开区潞城,港龙紫荆城,3室2厅1厨1卫,低楼层 (共17层),103.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-21,商品房,2013-02-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局通透，户型方正，阳光充足，房东诚心出售，产权清晰,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
9,新城，公园一号四期，楼层好，采光好,132万,14174,经开区潞城,公园壹号四期,3室2厅1厨1卫,低楼层 (共33层),93.13㎡,平层,71.89㎡,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-12-30,商品房,2012-10-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，通风好，位置好，视野开阔，业主诚心出售！,,c市，银行，菜场，购物广场，家门口，横塘河湿地公园旁，第七人民医院！,,小区，彩虹跑到，封闭式管理的小区，24小时安保，安全性比较好，24小时管家服务！,,,,,,,,
