,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,售房详情,户型介绍,周边配套,税费解析,适宜人群,交通出行
0,三开间朝南，户型周正，房东随时可签约，价格从优！,162万,12494,"['经开区', '横林镇']",['港龙紫御府'],3室2厅1厨2卫,高楼层 (共26层),129.67㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-19,商品房,2021-02-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,三开间朝南，户型周正，房东随时可签约，价格从优！,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,三开间朝南，户型周正，房东随时可签约，价格从优，房东在外地发展，房子卖了到上海购买,三开间朝南，户型周正，小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好。,,,,
1,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售,149万,11544,"['经开区', '横林镇']",['龙宸铭著'],4室2厅1厨2卫,高楼层 (共11层),129.08㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-22,商品房,2023-03-10,普通住宅,未满两年,非共有,有抵押,已上传房本照片,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售 产权清晰,小区环境优美，舒适安静 适宜居住，有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,
2,房东诚心出售，户型方正，通透性好，采光无遮挡。,170万,15426,"['经开区', '横林镇']",['上林国际'],3室2厅1厨1卫,中楼层 (共30层),110.21㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,2017-08-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡。,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,
3,中天花园 房主诚意出售 环境好,140万,7294,"['经开区', '横林镇']",['中天花园'],6室2厅1厨2卫,高楼层 (共4层),191.96㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-05,商品房,2009-11-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,位置好，视野宽阔，采光充足无遮挡，配 套 齐 全,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，坐 谈 来 去,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,
4,小区停车位充足，建有地面临时停车位以及底下停车位,175万,13566,"['经开区', '横林镇']",['龙宸铭著'],4室2厅1厨2卫,中楼层 (共11层),129㎡,暂无数据,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区停车位充足，建有地面临时停车位以及底下停车位,,,,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利。
5,龙宸铭著129平4房，生活方便。,178万,13790,"['经开区', '横林镇']",['龙宸铭著'],4室2厅1厨2卫,中楼层 (共11层),129.08㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障。，房东诚心出售，,,,,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利
6,龙宸铭著86平3房，生活方便。,112万,12981,"['经开区', '横林镇']",['龙宸铭著'],3室2厅0厨1卫,中楼层 (共27层),86.28㎡,暂无数据,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-05,商品房,2023-04-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,户型方正，采光充足，楼层也是中高层，房东诚心出售，价格从优！,,,,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐
7,横林天启云庭三室两厅 精装修 急售,195万,13637,"['经开区', '横林镇']",['天启云庭'],3室2厅1厨2卫,中楼层 (共16层),143㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-11-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房诚心出，精装修，好楼层，视野开阔，采光好,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,,
8,"经开区横林福临东苑，双卫格局，视野无遮挡,明厨明卫",130万,10348,"['经开区', '横林镇']",['福临东苑'],4室2厅1厨2卫,高楼层 (共11层),125.64㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-23,商品房,2021-08-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满二 通风好 格局楼层好 视野宽广,小区环境好，楼间距远，有小孩的游乐场所，还有大人的健身器材，居住舒适,,户型方正，两房朝南的户型 房屋得房率高 明厨明卫 通透采光好,,"1、首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%；2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%",,
