,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
0,南湖家苑精装婚吡邻地铁高铁站旁刚需优选随时可看,89万,9283,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,低楼层 (共18层),95.88㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-24,商品房,2014-12-08,普通住宅,满五年,非共有,有抵押 1万元 业主自还,已上传房本照片,此房户型方正，看房方便，随时可以看房.,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,,,
1,高新区地铁口荣盛御府洋房毛坯三房采光充足房东诚售,136万,9981,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共11层),136.26㎡,平层,136.26㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-11,商品房,2021-07-09,普通住宅,暂无数据,共有,有抵押,已上传房本照片,交房两年的新小区 环境好，采光全天无遮挡，房东诚意出售,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,税费解析: 契税：1.首套90平以下1%2.首套90平以上1.5%3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税：产权满两年免征 产权不满两年征收比例为5.3%个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适2.楼层佳，南北朝向，视野开阔，采光通透3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
2,南夏墅地铁口荣盛御府 精装三室洋房新装修诚心急售,130万,12500,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,高楼层 (共8层),104㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 55万元 公积金,未上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
3,诚心出售南夏墅地铁口 荣盛御府洋房 楼层好 随时看房,138万,11382,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共9层),121.25㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-10,商品房,2021-08-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
4,诚心出售 南夏墅地铁口 荣盛御府毛坯三房两卫可看房,128万,10941,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共16层),117㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-12,商品房,2021-04-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
5,业主诚心出售 南夏墅大润发旁 中梁百悦城毛坯三房,92万,10575,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,高楼层 (共17层),87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
6,买房带车位  中梁百悦城精装三房 采光好 随时看房,115万,13008,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,低楼层 (共18层),88.41㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-06,商品房,2021-07-30,普通住宅,满两年,非共有,有抵押,已上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
7,南夏墅新城都荟 满二次新小区，有车位 房东诚心售,115万,11676,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,低楼层 (共20层),98.5㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
8,中梁百悦城  户型方正 三开间朝南 房东诚心出售,100万,11495,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,高楼层 (共17层),87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,空间感好，通透性强，居住舒适； 层佳，朝向南北，视野开.,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
9,地铁一号线阳湖站南湖家苑 精装二室单价8000拎包即住,73万,8320,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,低楼层 (共18层),87.75㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-18,商品房,2019-03-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
