,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
0,毛坯出售的，采光好，看房子比较方便的,102万,11916,钟楼区西林,路劲城市花园,3室2厅1厨1卫,低楼层 (共34层),85.6㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-03-09,商品房,2018-04-30,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,毛坯出售的，采光好，房东诚心出售,"税费解析：
1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税",商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,,
1,视野开阔，房东诚心出售，精装修。。。。。。。。,132万,12548,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共34层),105.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-07-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 58万元 江南商业银行 客户偿还,未上传房本照片,视野开阔，房东诚心出售，房子2022年3月份满2年，精装修。,税费：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,,,路劲开发商，路劲物业，小区居住人群素质高；得房率高，事宜居住。,房子精装修自住，品牌家具家电齐全，全屋隔音玻璃，可以直接拎包入住，房东诚心出售,,,,,,,,,
2,景观园林小区稀有、通透小户型。,72万,9649,钟楼区西林,泰盈八千里,2室1厅1厨1卫,高楼层 (共15层),74.62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-09-20,商品房,2023-09-23,普通住宅,未满两年,共有,有抵押 70万元,已上传房本照片,户型方正 ，采光充足， 配套完善， 交通便利 ，居住舒适。。。。,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税。,有西林医院，西林公园，大型市，大小饭店，银行，快递站，儿童乐园 ，生活便利。,,配套完善 交通便利 小区物业好24安保服务，小区环境优美，配套齐全，居民素质高，交通配套成熟，42路公交车，共享单车，出行便利，小区安保物业负责，有公园，医院，商场。,,,,,,,,,,
3,2016年交付次新房 小三房精装修 中间楼层,115万,13530,钟楼区西林,路劲城市花园,3室2厅1厨1卫,低楼层 (共18层),85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,2016年交付次新房 小三房精装修 中间楼层,"税费解析：
契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％",配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,"交通出行：
公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下","小区介绍：
路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。",,有抵押的，房东可以自己还， 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,,,,,,,
4,泰盈八千里3楼低总价，看房方便,108万,11750,钟楼区西林,泰盈八千里,2室2厅1厨1卫,低楼层 (共22层),91.92㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,3楼低总价，看房方便                    。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。        ，,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,,,,,,,,,,
5,泰盈八千里 2室2厅 东南,100万,11313,钟楼区西林,泰盈八千里,2室2厅1厨0卫,低楼层 (共18层),88.4㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 69万元,未上传房本照片,,,,,,,,,,,,,,,
6,新出泰盈八千里精装 中间楼层 楼栋位置好,110万,12349,钟楼区西林,泰盈八千里,2室2厅1厨1卫,中楼层 (共18层),89.08㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房楼栋位置好 户型格局好，楼层好、视野宽阔、采光充足,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,客厅宽敞大方，明亮通透，采光效果好，使用率高。视野宽阔，舒适安静 适宜居住,,,,,,,
7,位置好，得房率高， 保养新 户型方正.采光无遮挡。。,100万,11326,钟楼区西林,泰盈八千里,2室2厅1厨1卫,中楼层 (共18层),88.3㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡。。,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,东临龙江路高架，东边就是公交站台，北边就是常州BRT，西边是公交枢纽,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
8,户型方正 ，采光充足，，居住舒适。。。。,135万,11788,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共18层),114.53㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-01-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,户型方正 ，采光充足， 配套完善， 交通便利 ，居住舒适。。。。,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税。,有西林医院，西林公园，大型市，大小饭店，银行，快递站，儿童乐园 ，生活便利。,,配套完善 交通便利 小区物业好24安保服务，小区环境优美，配套齐全，居民素质高，交通配套成熟，42路公交车，共享单车，出行便利，小区安保物业负责，有公园，医院，商场。,,,,,,,,,,
9,路劲三房 户型方正 配套齐全，满五唯一。。。。,120万,11020,钟楼区西林,路劲城市花园,3室1厅1厨2卫,高楼层 (共18层),108.9㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-09,商品房,2018-07-02,普通住宅,暂无数据,非共有,有抵押 30万元 江南,已上传房本照片,绿园爱舍三房 户型方正 配套齐全 楼层佳 采光无忧 欢迎咨询,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，绿化成熟，适合居住，健身器材一应俱全，邻里关系友好,,,户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,,,,,,,
