,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,适宜人群,交通出行,别墅类型,售房详情,户型介绍,权属抵押,装修描述
0,段好，交通方便，出门公交、地铁。旁边菜场、公园。,110万,11663,经开区遥观镇,新城和昱,3室2厅0厨1卫,低楼层 (共17层),94.32㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-06,商品房,2020-02-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,地段好，交通方便，出门公交、旁边菜场、公园旁,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,,
1,此小区配套齐全有菜场，生活、交通便利,105万,5950,经开区遥观镇,宋剑湖家园,6室1厅1厨2卫,高楼层 (共5层),176.48㎡,复式,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,该房源配套齐全，有菜场小区内停车方便,,一、契税1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税,,该房源配套齐全，有菜场小区内停车方便有，邻里关系融洽安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
2,临津花园 80.22-平2房 生活方便,85万,10596,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯四户,有,暂无数据,2022-10-13,商品房,2020-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
3,临津花园80平2房，生活方便。,85万,10479,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共27层),81.12㎡,平层,61.35㎡,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-20,商品房,2020-04-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
4,临津花园 80平2房 生活方便,82万,10222,经开区遥观镇,临津花园,2室1厅1厨1卫,中楼层 (共33层),80.22㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,2020-07-13,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
5,观景苑大平方住宅精装房。。。。。,199万,9618,经开区遥观镇,观景苑,5室1厅1厨2卫,低楼层 (共3层),206.91㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2023-09-04,商品房,2023-09-04,别墅,未满两年,共有,无抵押,已上传房本照片,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健.....,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,暂无数据,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
6,临津花园 120平3房 生活方便,122.2万,10184,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共27层),120㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-10-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
7,此小区配套齐全有菜场，物业品质有保障,120万,13484,经开区遥观镇,昱湖上观,3室2厅1厨1卫,低楼层 (共11层),89㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,此房税费解析：契税：首套 90平以下1% 二套90平以下1% 三套都是3% 增值税：满两年免征 个人所得税：满5年却不是唯一住房征1% 房主自荐(业主对房源的描述),,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,
8,此小区配套齐全有菜场，新城物业品质有保障。,70万,8727,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共33层),80.22㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,四梯四户,有,暂无数据,2022-12-15,商品房,2022-06-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩，邻里关系融洽安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
9,昱湖上观128平4房，生活方便。,175万,13672,经开区遥观镇,昱湖上观,4室2厅1厨2卫,中楼层 (共13层),128㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
