,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
0,格局好，明厨明卫，采光好，无遮挡，装修较新,135万,13011,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,高楼层 (共33层),103.76㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-01,商品房,2018-08-31,普通住宅,暂无数据,共有,无抵押,已上传房本照片,格局好，明厨明卫，采光好，无遮挡，装修较新,"小区介绍：
小区位于弘阳广场旁，北门朝向中吴大道，交通便捷。小区安静舒适，人文素养好。小区绿树成荫，楼间距宽，24小时安保。",契税：首套房面积小于90平，1%*成交价；面积大于90平，1.5%*成交价。二套房面积小于90平，1%*成交价，面积大于90平，2%*成交价。三套房无论面积多少，交3%*成交价。2.个税：满五唯一，免交个税，不满五年，交1%*成交价 3.增值税：不满两年交5.6%的税。,： 房屋装修较新，格局也好，家具家电配套齐全，适合青年人居住，可拎包入住。,,,,,,,,,,,,
1,房东诚心出售的 有钥匙看房方便,180万,20353,天宁区兰陵街道,九州新世界君玺,3室2厅1厨1卫,低楼层 (共30层),88.44㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-06-29,商品房,2022-03-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,君玺，采光，通风，明亮，宽敞，户型方正,,契税A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,九洲菜场 阳光MALL，九洲电脑城，九州服装城 医院：二院、三院 邮局：兰陵桥下 邮政储蓄 银行：工商银行、建设银行、交通银行 ，工作生活便利。,"出行方便，多路公交车就在小区门口，55路，B2,11路，221路，10路，多条路线通达",,,,,,,,,,
2,君玺大平层，户型方正四开朝南，品牌装修，尽显品质,498万,22845,天宁区兰陵街道,九州新世界君玺,5室2厅1厨3卫,低楼层 (共30层),218㎡,平层,暂无数据,板塔结合,南,未知结构,精装,一梯两户,有,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 250万元,未上传房本照片,君玺大平层，户型方正四开朝南，品牌装修，尽显品质,,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",品牌开发商精装，房东另花百万装修，保养好，一线品牌家电家具全留,配有九州新世纪大型商场，酒店，数码城，农贸市场，兰园河滨公园一应俱全,,,,,,,,,,,
3,三开间朝南，户型方正3房，有钥匙随时好看,165万,17303,天宁区兰陵街道,紫云府,3室2厅1厨1卫,高楼层 (共26层),95.36㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯六户,有,暂无数据,2023-10-17,商品房,2022-03-18,普通住宅,满两年,共有,有抵押 120万元,已上传房本照片,此房精装修，全天采光无遮挡，随时可以看房。,小区绿化做的好 得房率高 人文环境素养好 低密度带来更高的生活品质,,精装修 拎包入住 装修品质高 居住更舒适 新风 地暖 空调三大件一步到位,,门口有通达全城的中吴大道 双向八车道 出行不拥堵 两公里左右到达二号线 茶山站 门口就是公交 出行便利,,,,,,,,,,
4,江理工 棕榈湾花园洋房2室出售 清爽干净装修,105万,11979,武进区兰陵街道,棕榈湾,2室2厅1厨1卫,中楼层 (共7层),87.66㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯三户,有,暂无数据,2023-02-10,商品房,2022-11-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"：
精装两房优质户型，通透格局，楼层好，视野宽",小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.35％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,户型介绍： 客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温暖舒适. 厨房设施齐全，家用电器设施齐全,,,,,,,,,
5,全屋一线家电 采光好中间位置 高价装修标准,116万,13858,天宁区兰陵街道,弘阳上城,2室1厅1厨1卫,高楼层 (共33层),83.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-27,商品房,2022-05-17,普通住宅,未满两年,共有,无抵押,已上传房本照片,全小区中间位置，全屋一线品牌家具家电，格局好，明厨明卫,小区位于弘阳广场旁，北门朝向中吴大道，交通便捷。小区安静舒适，人文素养好。小区绿树成荫，楼间距宽，24小时安保。,契税：首套房面积小于90平，1%*成交价；面积大于90平，1.5%*成交价。二套房面积小于90平，1%*成交价，面积大于90平，2%*成交价。三套房无论面积多少，交3%*成交价。2.个税：满五唯一，免交个税，不满五年，交1%*成交价 3.增值税：不满两年交5.6%的税。,装修好，设计师设计，家具家电配套齐全一线品牌，适合一家人居住，可拎包入住。,,,,,,,,,,,,
6,棕榈湾洋房 精装两室 楼层佳 采光无忧 业主诚售,98万,11224,武进区兰陵街道,棕榈湾,2室2厅1厨1卫,高楼层 (共8层),87.32㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯两户,有,暂无数据,2024-03-15,商品房,2020-10-19,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,精装两房 优质户型，通透格局，楼层好，视野宽,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.35％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,户型介绍： 客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温暖舒适. 厨房设施齐全，家用电器设施齐全,,,,,,,,,
7,九洲商圈，户型方正采光很好 ，环境优美，出行便利,220万,17894,天宁区兰陵街道,九州新世界君玺,3室2厅1厨2卫,中楼层 (共33层),122.95㎡,平层,暂无数据,板塔结合,南 西,钢混结构,精装,两梯三户,有,暂无数据,2023-12-16,商品房,2017-08-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,九洲商圈，户型方正采光很好 ，环境优美，出行便利,小区苏州园林景观，环境优美，人车分流，有健身广场儿童乐园，旁边菜场商场，一静一动适合居住养老。,,,小区西门旁边兰陵菜场，九洲新世界商场，兰陵服装城，距离常州第三人民医院800米。,,,房东诚心出售，看房方便个人独有，产证无抵押，本人全程陪看陪签。,,,,,,,,
8,户型格局好，优质户型，户型方正，通透明亮,112万,12128,天宁区兰陵街道,兰陵尚品花园c区,3室1厅1厨1卫,中楼层 (共31层),92.35㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
9,紫云府 精装三大件齐 小区前排全天采光 楼层好,159万,16674,天宁区兰陵街道,紫云府,3室2厅1厨1卫,高楼层 (共26层),95.36㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2024-01-04,商品房,2022-03-11,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,紫云府 精装三大件齐 小区前排全天采光 楼层好,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,位于兰陵成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,,,,,,,,
