,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
0,翡翠湾，复式3层，客厅挑高有五米多，精装修保养好。,160万,12090,钟楼区五星,翡翠湾,4室2厅1厨3卫,中楼层 (共20层),132.35㎡,复式,109.28㎡,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-10-31,商品房,2010-02-03,普通住宅,满五年,共有,无抵押,已上传房本照片,翡翠湾，复式3层，客厅挑高有五米多，精装修保养好。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1,龙湖龙誉城紫宸3-2-1-1 87.16m²,170万,19505,钟楼区五星,龙湖龙誉城紫宸,3室2厅1厨1卫,低楼层 (共34层),87.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-03,商品房,2019-05-03,普通住宅,满两年,共有,有抵押 80万元,已上传房本照片,此房户型方正，三室两厅一厨一卫 中低楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,,,,,,
2,龙湖天街御水华庭单价低！楼层好！视野开阔！采光好！,175万,12648,钟楼区五星,城置御水华庭,4室2厅1厨2卫,中楼层 (共33层),138.37㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2023-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,龙湖天街地铁口平岗在建综合菜市场交通便利,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,契税：首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下成交价的1%，90平以上成交价的2%，三套及以上成交价的3%。个税：产证满五唯一，免收个税，不唯一成交价的1%,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，龙湖天街和欧尚,,,,,,,,,,,
3,龙湖花千数143平毛坯四房户型好采光无遮挡292万诚售,210万,14686,钟楼区五星,龙湖花千树,4室2厅1厨2卫,中楼层 (共34层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-09-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。 本人从事房地产多年，公司有大量好房源，欢迎随时电话咨询。,,1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活..,,,,,,,,,,,
4,龙湖天街旁 精装两室 保养好 业主诚售,94万,12207,钟楼区五星,城置御水华庭,2室2厅1厨1卫,低楼层 (共18层),77.01㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-17,商品房,2018-04-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,业主诚心出售，户型方正采光无遮挡，可随时看房,小区环境优美，安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。 生活便利，生活用品及买菜十分便利，生活轻松,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，公交258，39路，Y1和B23，龙湖天街和大润发,,,,,,,,,,,
5,此房户型方正，通透明亮，阳台视野宽阔，采光很好,172万,10308,钟楼区五星,勤德家园,3室2厅1厨2卫,低楼层 (共21层),166.87㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-12-09,商品房,2014-06-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房户型方正，通透明亮，阳台视野宽阔，采光很好,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",老勤业板块，配套齐全！ 小区地理位置佳，绿化好，居民素质高，有健身器材，活动场所，建有地上停车场和地下停车库，停车位充足，二十四保安巡逻，菜场，，商场，银行等配套设施齐全，生活方便快捷，交通便利,,,,,,,,,,,
6,龙湖天街 新城香悦半岛 精装3房 南北通风,130万,13979,钟楼区五星,新城香悦半岛北区,3室2厅1厨1卫,中楼层 (共34层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高品质住宅 龙湖天街旁 精装 三房 新城悦物业,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
7,房东诚心卖 满五唯一 平岗勤业 自住看中谈,65万,9690,钟楼区五星,勤业四村南区,3室1厅1厨1卫,高楼层 (共6层),67.08㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2023-10-08,商品房,2018-01-01,普通住宅,未满两年,共有,无抵押,未上传房本照片,房屋楼层好，视野宽阔，采光充足，交通便利，配套齐全。,,,"首套房，90平米以上成交价的1.5％, 二套房90平以上成 交价的2%,2、个税：产证满五年而且不唯一套住 房成交价的1%",,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，没有抵押，满五唯一业主诚心出售，看房方便，过户全程陪同,,,,,,,,,
8,莱茵花园中间层，三朝南两房，精装空置看房方便,110万,12732,钟楼区五星,高成莱茵花苑北区,2室2厅1厨1卫,低楼层 (共25层),86.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"交通便捷，户型方正，采光好视野佳，精装修,拎包即住",小区环境优美，绿树成荫，鸟语花香，小区物业管理到位，基础设施完善，活动器械齐全，生活氛围好,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一免收个税，不唯一交成交价的1%",配套设施完善，出门就是美食，娱乐休闲场所，欧尚，龙湖天街，菜场等，交通方便快捷,,,,,,,,,,,
9,勤业一楼 带双院子 地铁口 位置佳 房东诚信出售,60万,11957,钟楼区五星,勤业一二三村,2室1厅1厨1卫,低楼层 (共6层),50.18㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房所在区域成熟，地铁2号线距离本小区两三个路口..,小区位于勤业板块，属于老式楼梯房，但配套已成熟，生活方便，入住率很高,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免,,售房详情： 此房业主诚心出售，房子简装 寻一有缘人，价格可谈,,,,,,,,,,
