,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
0,临湖独栋别墅 内外双湖 花园一亩地 环境好 太湖庄园,780万,15709,武进区雪堰镇,太湖庄园,4室4厅2厨6卫,低楼层 (共3层),496.54㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2022-11-09,商品房,2018-07-11,别墅,暂无数据,非共有,无抵押,已上传房本照片,此房为独栋别墅 临湖 房东诚心出售小区环境好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1,太湖庄园纯毛坯别墅 湖景房 鸟语花香山清水秀,475万,12769,武进区雪堰镇,太湖庄园,4室4厅1厨5卫,低楼层 (共4层),372㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,2022-10-20,商品房,2017-07-29,别墅,暂无数据,非共有,有抵押 440万元,已上传房本照片,此房联排别墅 中户 房东诚心出售小区环境好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳。,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
2,小区环境优雅，配套成熟，交通便利，,190万,8314,武进区雪堰镇,旷达福源二区,3室2厅1厨2卫,低楼层 (共6层),228.54㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-07-27,商品房,2017-06-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，绿化面积覆盖高，干净整..,,,首套1%，二套1.5%，12套以上2%，不满两年交5.3的增值税,复式,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,"楼层好,视野宽阔,,采光小区;配套设施齐全,交通便利,户型方正",,,,,,
3,太湖湾度假村独栋精装别墅大院子，依山旁水 鸟语花香,1000万,31056,武进区雪堰镇,太湖湾度假村,6室3厅1厨4卫,低楼层 (共3层),322㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，景区：动漫嬉戏谷、灵山大佛、中华孝道园,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",复式,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
4,此房满五唯一，交通便利，生活设施齐全，,140万,6168,武进区雪堰镇,阳光花园,6室2厅1厨2卫,高楼层 (共5层),227㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-06-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，交通便利，生活设施齐全，,,,契税首套90平以下1，2套90平1.5，不满两年，交5.8的增值税,复式,板塔结合,暂无数据,暂无数据,小区，生活设施齐全，小区有健身器材，提供小区居民使用，小区有地面停车位,户型周正，格局分布，合理，空间感好，通透性强，居住舒适，朝向南北,,,,,,
5,采光好，户型周正，格局分布合理，空间感好,320万,11941,武进区雪堰镇,望湖名门,5室2厅1厨3卫,低楼层 (共3层),268㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-08-27,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道..,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
6,太湖湾度假村 度假旅游的好地方,230万,15541,武进区雪堰镇,太湖湾度假村,3室2厅1厨2卫,中楼层 (共4层),148㎡,暂无数据,南,钢混结构,精装,,暂无数据,2020-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 商业银行 客户偿还,未上传房本照片,适合任何人群居住，景区：动漫嬉戏谷、灵山大佛、中华孝道园,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",复式,塔楼,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
7,拎包入住，天然氧吧，湖光景色，尽收眼底,280万,16569,武进区雪堰镇,太湖湾度假村,4室2厅1厨2卫,低楼层 (共1层),169㎡,暂无数据,南,未知结构,精装,,暂无数据,2020-05-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道..,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",复式,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
8,森林氧吧，养老度假，景点林立，装修精致,188万,15257,武进区雪堰镇,旷达太湖花园,4室2厅1厨2卫,低楼层 (共2层),123.23㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2022-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"房格局好,全天采光,户型方正视野好,干湿分离..",适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1% 房主自荐(业主对房源的描述),平层,暂无数据,暂无数据,暂无数据,"小区生活设施齐,商场、菜市场、银行等,交通便捷;2、小区内有健身 器材,小型球场,可供小区居民使用:3、小区内停车位充足,建有地上停车场和 地下车库;人车分流",,,,,,,
9,太湖庄园联排别墅 东边户房东诚心出售,550万,14559,武进区雪堰镇,太湖庄园,5室3厅1厨5卫,低楼层 (共3层),377.79㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2022-06-01,商品房,2018-03-14,别墅,暂无数据,共有,无抵押,已上传房本照片,此房联排别墅 东边户房东诚心出售小区环境好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳。,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
